director_name,genres,actor_1_name,actor_2_name,actor_3_name,movie_title,language
David O. Russell,Comedy,Lily Tomlin,Mary Tyler Moore,David Patrick Kelly,flirting with disaster,English
Rob Zombie,Crime Horror,Sid Haig,Ken Foree,Lew Temple,the devil's rejects,English
unknown,Action Drama Fantasy Romance,Sarah Michelle Gellar,Alyson Hannigan,Emma Caulfield,buffy the vampire slayer            ,English
Rick Famuyiwa,Comedy Crime Drama,Kimberly Elise,Rick Fox,Kiersey Clemons,dope,English
Michael Rymer,Crime Drama Thriller,LL Cool J,Omar Epps,Nia Long,in too deep,English
Sam Mendes,Action Adventure Thriller,Albert Finney,Helen McCrory,Rory Kinnear,skyfall,English
Rob Zombie,Horror,Sid Haig,Matthew McGrory,Erin Daniels,house of 1000 corpses,English
Sharron Miller,Horror,Bernard Fox,Elizabeth MacRae,Charles Aidman,alien zone,English
Ethan Coen,Comedy Drama,Michael Stuhlbarg,Fred Melamed,Peter Breitmayer,a serious man,English
Aaron Schneider,Drama Mystery,Bill Murray,Robert Duvall,Bill Cobbs,get low,English
Steve Miner,Action Fantasy Horror Thriller,Julian Sands,Richard E. Grant,Lori Singer,warlock,English
Gina Prince-Bythewood,Drama Music,Minnie Driver,Nate Parker,Darryl Stephens,beyond the lights,English
Tom Ford,Drama Romance,Colin Firth,Teddy Sears,Keri Lynn Pratt,a single man,English
Martin Scorsese,Drama,Irvin Kershner,Barbara Hershey,Roberts Blossom,the last temptation of christ,English
Michael Corrente,Comedy Drama Romance,Jonathan Brandis,George Wendt,Shawn Hatosy,outside providence,English
Gurinder Chadha,Comedy Drama Musical Romance,Indira Varma,Martin Henderson,Anupam Kher,bride & prejudice,English
Phillip Noyce,Adventure Biography Drama History,Roy Billing,David Gulpilil,Deborah Mailman,rabbit-proof fence,Aboriginal
Don Michael Paul,Comedy Sport,Jeffrey Jones,Faizon Love,Lil' Wayne,who's your caddy?,English
Tony Maylam,Action Crime Horror Sci-Fi Thriller,Michael J. Pollard,Alun Armstrong,Alastair Duncan,split second,English
unknown,Action Crime Drama Thriller,Melinda Clarke,Xander Berkeley,Aaron Stanford,nikita            ,English
Mitch Davis,Adventure Biography Drama,Anne Hathaway,Nathaniel Lees,Miriama Smith,the other side of heaven,English
unknown,Action Drama Mystery Sci-Fi,Jensen Ackles,Ashley Scott,John Savage,dark angel            ,English
Yash Chopra,Drama Musical Romance,Shah Rukh Khan,Preity Zinta,Anupam Kher,veer-zaara,Hindi
David Mamet,Drama Sport,Alice Braga,Randy Couture,Jose Pablo Cantillo,redbelt,English
Jay Duplass,Comedy Drama Romance,Matt Walsh,Tim Guinee,Katie Aselton,cyrus,English
Kevin Brodie,Drama Family,Bruce McGill,Cheryl Ladd,Jack Warden,a dog of flanders,English
Paul Schrader,Biography Crime Drama,Ed Begley Jr.,Michael McKean,Kurt Fuller,auto focus,English
George Hickenlooper,Biography Drama,Hayden Christensen,Jimmy Fallon,Beth Grant,factory girl,English
Lynne Ramsay,Drama Thriller,Ezra Miller,Siobhan Fallon Hogan,Ashley Gerasimovich,we need to talk about kevin,English
John Stephenson,Drama Family,Samantha Barks,Hans Matheson,Lesley Manville,the christmas candle,English
Tim Chambers,Drama Sport,Ellen Burstyn,Marley Shelton,Jennifer Butler,the mighty macs,English
Curtis Hanson,Comedy Drama Family,Tom Cruise,Shelley Long,Rick Rossovich,losin' it,English
Rodrigo García,Drama Romance,Naomi Watts,Jimmy Smits,Carla Gallo,mother and child,English
Dick Richards,Adventure Drama Romance War,Catherine Deneuve,Terence Hill,Jack O'Halloran,march or die,English
Jean-Marie Poiré,Comedy Fantasy Sci-Fi,Christian Clavier,Isabelle Nanty,Valérie Lemercier,les visiteurs,French
Sofia Coppola,Comedy Drama,Nathalie Fay,Chris Pontius,Erin Wasson,somewhere,English
Bob Gosse,Comedy,Geoff Stults,Susie Abromeit,Derek Wayne Johnson,i hope they serve beer in hell,English
Alex Zamm,Comedy,Taylor Negron,Raquel Welch,Larry Miller,chairman of the board,English
Spencer Susser,Drama,Joseph Gordon-Levitt,Natalie Portman,Rainn Wilson,hesher,English
Richard Shepard,Comedy Crime Drama,Richard E. Grant,Mark Wingett,Richard Graham,dom hemingway,English
Gus Van Sant,Adventure Drama Mystery,Matt Damon,Casey Affleck,unknown,gerry,English
Thaddeus O'Sullivan,Drama Romance,Olivia Williams,Luke Newberry,Eleanor Bron,the heart of me,English
Peter Sollett,Biography Drama Romance,Steve Carell,Josh Charles,Luke Grimes,freeheld,English
Shari Springer Berman,Comedy,Lynn Cohen,Marian Seldes,Dan Hedaya,the extra man,English
Aleksey German,Drama Sci-Fi,Leonid Yarmolnik,Yuriy Tsurilo,Valentin Golubenko,hard to be a god,Russian
Stephen Milburn Anderson,Comedy Crime Thriller,Chris Hemsworth,Mike Starr,Paul Sanchez,ca$h,English
Richard E. Grant,Drama,Emily Watson,Julie Walters,Miranda Richardson,wah-wah,English
Troy Duffy,Action Crime Thriller,Norman Reedus,David Della Rocco,Bob Marley,the boondock saints,English
David Lam,Action Crime,Michael Wong,Louis Koo,Stephen Au,z storm,Cantonese
Francis Ford Coppola,Comedy Fantasy Horror Mystery,Alden Ehrenreich,Bruce Dern,Joanne Whalley,twixt,English
Vladlen Barbe,Adventure Animation Family,Erin Fitzgerald,Wendee Lee,Ivan Okhlobystin,snow queen,Russian
Richard Rich,Action Adventure Animation Comedy Drama Family Fantasy Thriller,Debi Derryberry,Kate Higgins,Cindy Robinson,alpha and omega 4: the legend of the saw toothed cave,unknown
Clint Eastwood,Western,Clint Eastwood,Chris Penn,Sydney Penny,pale rider,English
Robert C. Cooper,Action Adventure Drama Fantasy Sci-Fi,Ben Browder,Christopher Judge,Julian Sands,stargate: the ark of truth,English
Richard Linklater,Comedy,Milla Jovovich,Adam Goldberg,Cole Hauser,dazed and confused,English
Kenny Ortega,Comedy Drama Family Music Musical Romance,Lucas Grabeel,Corbin Bleu,Olesya Rulin,high school musical 2,English
Kim Nguyen,Drama Romance,Gordon Pinsent,Justin Edward Seale,John Ralston,two lovers and a bear,English
Jackie Earle Haley,Crime Drama Thriller,Rex Baker,Edi Gathegi,Travis Aaron Wade,criminal activities,English
Max Färberböck,Biography Drama Romance War,Heike Makatsch,Johanna Wokalek,Maria Schrader,aimee & jaguar,German
Arie Posin,Comedy Drama,Rory Culkin,John Heard,Tim DeKay,the chumscrubber,English
Damian Nieman,Crime Thriller,Glenn Plummer,Jason Cerbone,Mark De Alessandro,shade,English
Mark Tonderai,Drama Horror Thriller,Jennifer Lawrence,Nolan Gerard Funk,Gil Bellows,house at the end of the street,English
Denis Villeneuve,Drama Mystery War,Lubna Azabal,Mélissa Désormeaux-Poulin,Ahmad Massad,incendies,French
Gabriele Muccino,Comedy Drama Romance,Laura Morante,Silvio Muccino,Giulia Michelini,"remember me, my love",Italian
Ian Fitzgibbon,Action Comedy Crime Drama Romance Thriller,Jim Broadbent,Brendan Coyle,Michael McElhatton,perrier's bounty,English
José Padilha,Action Crime Drama Thriller,Wagner Moura,Fernanda Machado,André Ramiro,elite squad,Portuguese
John R. Leonetti,Horror Mystery,Alfre Woodard,Annabelle Wallis,Gabriel Bateman,annabelle,English
Rachel Perkins,Comedy Drama Musical,Deborah Mailman,Magda Szubanski,Jessica Mauboy,bran nue dae,English
John Singleton,Crime Drama,John Cothran,Lloyd Avery II,Na'Blonka Durden,boyz n the hood,English
Luis Valdez,Biography Drama Music,Esai Morales,Rosanna DeSoto,Danielle von Zerneck,la bamba,English
Alan Alda,Comedy Drama,Rita Moreno,Len Cariou,Sandy Dennis,the four seasons,English
Brian De Palma,Mystery Romance Thriller,Angie Dickinson,David Margulies,Nancy Allen,dressed to kill,English
Stephen Sommers,Adventure Comedy Drama Family,Curtis Armstrong,Frances Conroy,Anne Heche,the adventures of huck finn,English
Doug Liman,Comedy Crime,Sarah Polley,Jay Mohr,Scott Wolf,go,English
Nicole Holofcener,Comedy Drama Romance,Greg Germann,Marin Hinkle,Jake Cherry,friends with money,English
Robert Wise,Sci-Fi Thriller,David Wayne,Paula Kelly,Eric Christmas,the andromeda strain,English
Louis Morneau,Horror Sci-Fi Thriller,Leon,Bob Gunton,Ned Bellamy,bats,English
Caroline Link,Biography Drama,Merab Ninidze,Juliane Köhler,Matthias Habich,nowhere in africa,English
Steve McQueen,Drama,Michael Fassbender,Nicole Beharie,James Badge Dale,shame,English
Matthew Vaughn,Crime Drama Thriller,Tom Hardy,Sally Hawkins,Jamie Foreman,layer cake,English
Sterling Van Wagenen,Drama Western,Emily Podleski,Eric Johnson,Brenda Strong,the work and the glory ii: american zion,English
Zal Batmanglij,Drama Thriller,Alexander Skarsgård,Julia Ormond,Jason Ritter,the east,English
Michael Mayer,Drama Romance,Robin Wright,Matt Frewer,Sissy Spacek,a home at the end of the world,English
Hans Petter Moland,Drama,Charlotte Rampling,Sara-Marie Maltha,Stellan Skarsgård,aberdeen,English
Oren Moverman,Drama Romance War,Steve Buscemi,Yaya DaCosta,Eamonn Walker,the messenger,English
Ian Sharp,Action Adventure Drama Western,Ray Winstone,Jed Brophy,Temuera Morrison,tracker,English
Anton Corbijn,Biography Drama Music,Sam Riley,Samantha Morton,Alexandra Maria Lara,control,English
James Cameron,Action Sci-Fi,Michael Biehn,Brian Thompson,Paul Winfield,the terminator,English
Wolfgang Becker,Drama Romance,Florian Lukas,Chulpan Khamatova,Burghart Klaußner,good bye lenin!,German
Tom Hooper,Biography Drama Sport,Stephen Graham,Mark Bazeley,Maurice Roëves,the damned united,English
Dan O'Bannon,Comedy Horror Sci-Fi,Linnea Quigley,Clu Gulager,Beverly Randolph,the return of the living dead,English
unknown,Crime Drama Thriller,Maria Pia Calzone,Fortunato Cerlino,Marco D'Amore,gomorrah            ,Italian
Kevin Smith,Comedy Romance,Ethan Suplee,Jason Mewes,Joey Lauren Adams,mallrats,English
Randal Kleiser,Musical Romance,Olivia Newton-John,Stockard Channing,Sid Caesar,grease,English
Oliver Stone,Drama War,Johnny Depp,Tom Berenger,Kevin Dillon,platoon,English
Michael Moore,Documentary Drama War,Osama bin Laden,Stevie Wonder,Ricky Martin,fahrenheit 9/11,English
George Roy Hill,Biography Crime Drama Western,Katharine Ross,Ted Cassidy,Kenneth Mars,butch cassidy and the sundance kid,English
Robert Stevenson,Comedy Family Fantasy Musical,Ed Wynn,Glynis Johns,Elsa Lanchester,mary poppins,English
Robert Redford,Drama,Adam Baldwin,Elizabeth McGovern,Judd Hirsch,ordinary people,English
Frank Coraci,Action Adventure Comedy,Jim Broadbent,Steve Coogan,Cécile De France,around the world in 80 days,English
Jerome Robbins,Crime Drama Musical Romance Thriller,Rita Moreno,George Chakiris,Richard Beymer,west side story,English
Harold Ramis,Comedy Sport,Bill Murray,Rodney Dangerfield,Brian Doyle-Murray,caddyshack,English
Gary Hardwick,Comedy Drama,Julie Benz,Tatyana Ali,Jenifer Lewis,the brothers,English
Rick Famuyiwa,Comedy Drama Romance,Omar Epps,Tamala Jones,Richard T. Jones,the wood,English
Bryan Singer,Crime Drama Mystery Thriller,Kevin Spacey,Chazz Palminteri,Kevin Pollak,the usual suspects,English
Stephen Hopkins,Fantasy Horror Romance Thriller,Lisa Wilcox,Kelly Jo Minter,Matthew Borlenghi,a nightmare on elm street 5: the dream child,English
Walt Becker,Comedy Romance,Ryan Reynolds,Curtis Armstrong,Erik Estrada,van wilder: party liaison,English
Darren Aronofsky,Drama Sport,Mark Margolis,John D'Leo,Ajay Naidu,the wrestler,English
King Vidor,Drama Romance Western,Joseph Cotten,Lillian Gish,Jennifer Jones,duel in the sun,English
Christopher Guest,Comedy,John Michael Higgins,Catherine O'Hara,Michael McKean,best in show,English
John Carpenter,Action Sci-Fi,Donald Pleasence,Adrienne Barbeau,Tom Atkins,escape from new york,English
Spike Lee,Comedy Drama Musical,Tisha Campbell-Martin,Ossie Davis,Bill Nunn,school daze,English
Fred Savage,Comedy Family,Lochlyn Munro,Brian Doyle-Murray,Tamala Jones,daddy day camp,English
Sammo Kam-Bo Hung,Action Comedy Crime,Sammo Kam-Bo Hung,Richard Norton,Rachel Blakely,mr. nice guy,English
Christopher Guest,Comedy Music,Michael McKean,Christopher Guest,Laura Harris,a mighty wind,English
Donald Petrie,Comedy Drama Romance,Julia Roberts,Lili Taylor,Conchata Ferrell,mystic pizza,English
unknown,Drama History Romance War,Jim Broadbent,Tuppence Middleton,Lily James,war & peace            ,English
Peter Howitt,Comedy Drama Fantasy Romance,Jeanne Tripplehorn,Kevin McNally,John Lynch,sliding doors,English
Rusty Cundieff,Comedy Horror Thriller,Corbin Bernsen,Clarence Williams III,David Alan Grier,tales from the hood,English
Kevin Macdonald,Biography Drama History Thriller,David Oyelowo,Simon McBurney,Abby Mukiibi Nkaaga,the last king of scotland,English
Dominique Othenin-Girard,Horror Thriller,Donald Pleasence,Tamara Glynn,Troy Evans,halloween 5,English
Richard Linklater,Comedy Crime Drama,Matthew McConaughey,Brandon Smith,Rick Dial,bernie,English
Jean-Jacques Mantello,Adventure Documentary Short,Charlotte Rampling,Daryl Hannah,unknown,dolphins and whales 3d: tribes of the ocean,English
Ed Harris,Biography Drama,John Heard,Bud Cort,Amy Madigan,pollock,English
Risa Bramon Garcia,Comedy Drama Romance,Janeane Garofalo,Dave Chappelle,Gaby Hoffmann,200 cigarettes,English
Brian Klugman,Drama Mystery Romance Thriller,J.K. Simmons,Bradley Cooper,Olivia Wilde,the words,English
Matt Piedmont,Comedy Western,Will Ferrell,Adrian Martinez,Luis E. Carazo,casa de mi padre,Spanish
Raymond De Felitta,Comedy Drama,Ezra Miller,Curtiss Cook,Dominik García-Lorido,city island,English
John Michael McDonagh,Comedy Crime Thriller,Don Cheadle,Fionnula Flanagan,Wale Ojo,the guard,English
Deb Hagan,Comedy,Drake Bell,Alona Tal,Haley Bennett,college,English
Sofia Coppola,Drama Romance,Kirsten Dunst,Kathleen Turner,Scott Glenn,the virgin suicides,English
Mark Herman,Comedy Drama Music Romance,Jim Broadbent,Annette Badland,Brenda Blethyn,little voice,English
Zach Cregger,Comedy Romance,Hugh M. Hefner,Windell Middlebrooks,Raquel Alessi,miss march,English
Zach Braff,Comedy Drama,Jim Parsons,Josh Gad,Michael Weston,wish i was here,English
Mark Tarlov,Comedy Drama Fantasy Romance,Sarah Michelle Gellar,Dylan Baker,Lawrence Gilliard Jr.,simply irresistible,English
unknown,Crime Drama Mystery,Francis Capra,Jason Dohring,Enrico Colantoni,veronica mars            ,English
John Cameron Mitchell,Comedy Drama Music Musical,John Cameron Mitchell,Miriam Shor,Andrea Martin,hedwig and the angry inch,English
Sheldon Lettich,Action Drama,Antoni Corone,Ryan Bollman,Todd Susman,only the strong,English
Jon Knautz,Drama Horror Mystery Thriller,Rachel Alig,Monda Scott,Alexis Kendra,goddess of love,English
Billy Ray,Drama History,Hayden Christensen,Rosario Dawson,Cas Anvar,shattered glass,English
David Atkins,Comedy Crime Drama Thriller,Chelcie Ross,Lynne Thigpen,Polly Noonan,novocaine,English
Patrick Stettner,Drama Thriller,Stockard Channing,Tony Devon,Frederick Weller,the business of strangers,English
Sam Peckinpah,Action Adventure Western,William Holden,Warren Oates,L.Q. Jones,the wild bunch,English
Jonathan Levine,Comedy Drama Romance,Mary-Kate Olsen,Aaron Yoo,Method Man,the wackness,English
Michael Crichton,Adventure Crime Drama Thriller,Lesley-Anne Down,Michael Elphick,Pamela Salem,the great train robbery,English
Lynne Ramsay,Drama,Samantha Morton,Bryan Dick,Paul Popplewell,morvern callar,English
Sylvio Tabet,Action Adventure Fantasy Sci-Fi,Michael Berryman,Kari Wuhrer,Marc Singer,beastmaster 2: through the portal of time,English
Rick Bieber,Biography Drama Sport,Aidan Quinn,Kendrick Cross,Sammy Nagi Njuguna,the 5th quarter,English
Claude Chabrol,Drama,Benoît Magimel,Nathalie Baye,Mélanie Doutey,the flower of evil,French
Shana Feste,Drama Romance,Jennifer Ehle,Zoë Kravitz,Cara Seymour,the greatest,English
Wayne Wang,Drama History,Bingbing Li,Russell Wong,Ji-hyun Jun,snow flower and the secret fan,English
Joey Lauren Adams,Drama Romance,Tim Blake Nelson,Diane Ladd,Ritchie Montgomery,come early morning,English
Peter Cattaneo,Comedy Crime Romance,James Nesbitt,Olivia Williams,Peter McNamara,lucky break,English
Fred Zinnemann,Drama,Meryl Streep,Jane Fonda,Vanessa Redgrave,julia,English
S.R. Bindler,Comedy,Matthew McConaughey,Scott Glenn,Sarah Wright,"surfer, dude",English
Tony Kaye,Documentary,Noam Chomsky,Pat Buchanan,Bill Baird,lake of fire,English
Greg Marcks,Comedy Crime Drama,Henry Thomas,Barbara Hershey,Shawn Hatosy,11:14,English
Perry Lang,Action Drama Thriller,Catherine Bell,Kevin Tighe,Tim Guinee,men of war,English
Jake Goldberger,Drama Mystery Thriller,Pruitt Taylor Vince,M. Emmet Walsh,Robert Wahlberg,don mckay,English
Stefan Ruzowitzky,Crime Drama Thriller,Charlie Hunnam,Olivia Wilde,Sissy Spacek,deadfall,English
Vic Sarin,Drama Family,Connie Nielsen,Aidan Quinn,John Bell,a shine of rainbows,English
William Kaufman,Action Thriller,Drew Waters,Sean Cook,Cole Hauser,the hit list,English
unknown,Comedy Drama Romance,Romola Garai,Blake Ritson,Rupert Evans,emma            ,English
David Cronenberg,Horror Mystery Sci-Fi Thriller,Debbie Harry,Leslie Carlson,Reiner Schwarz,videodrome,English
Cédric Klapisch,Comedy Drama,Romain Duris,Cécile De France,Iddo Goldberg,l'auberge espagnole,French
Kate Barker-Froyland,Drama Music,Anne Hathaway,Shawn Parsons,Li Jun Li,song one,English
Barbet Schroeder,Crime Mystery Thriller,Ryan Gosling,Chris Penn,Agnes Bruckner,murder by numbers,English
Martin Koolhoven,Drama History War,Yorick van Wageningen,Tygo Gernandt,Martijn Lakemeier,winter in wartime,Dutch
Charles Matthau,Comedy Crime Thriller,Billy Burke,Michael Jai White,Bill Duke,freaky deaky,English
John Frankenheimer,Thriller War,Jeanne Moreau,Paul Scofield,Michel Simon,the train,English
Christopher M. Bessette,Drama Thriller,Mira Sorvino,John Billingsley,Trieu Tran,trade of innocents,English
Prachya Pinkaew,Action Crime Drama Thriller,Jon Foo,Nathan Jones,Johnny Nguyen,the protector,Thai
Gary Sinyor,Comedy,Sean Pertwee,Frank Finlay,Samuel West,stiff upper lips,English
unknown,Comedy Romance,Simon Bird,Belinda Stewart-Wilson,James Buckley,the inbetweeners            ,English
Gurinder Chadha,Comedy Drama Romance Sport,Archie Panjabi,Parminder Nagra,Anupam Kher,bend it like beckham,English
John Sayles,Drama Romance,Miguel Ferrer,Edie Falco,Timothy Hutton,sunshine state,English
Preston A. Whitmore II,Action Sport,Wesley Jonathan,Wayne Brady,Eva Marcille,crossover,English
Ashish R. Mohan,Action Comedy,Asin,Mithun Chakraborty,Johnny Lever,khiladi 786,Hindi
Jaume Balagueró,Horror,Jonathan D. Mellor,Pablo Rosso,Andrea Ros,[rec] 2,Spanish
Stewart Raffill,Musical,Kayla Jackson,Alexis Biesiada,Kayla Raparelli,standing ovation,English
George Roy Hill,Comedy Crime Drama,Eileen Brennan,Robert Shaw,Ray Walston,the sting,English
Hugh Hudson,Biography Drama Sport,Alice Krige,Ben Cross,John Gielgud,chariots of fire,English
Darren Grant,Comedy Drama Romance,Cicely Tyson,Kimberly Elise,Tamara Taylor,diary of a mad black woman,English
Scott Hicks,Biography Drama Music Romance,Noah Taylor,Armin Mueller-Stahl,Nicholas Bell,shine,English
Joseph Gordon-Levitt,Comedy Drama Romance,Joseph Gordon-Levitt,Scarlett Johansson,Tony Danza,don jon,English
Clint Eastwood,Mystery Western,Clint Eastwood,Richard Bull,John Hillerman,high plains drifter,English
Terry Zwigoff,Comedy Drama,Scarlett Johansson,Steve Buscemi,T.J. Thyne,ghost world,English
Richard Eyre,Biography Drama Romance,Kate Winslet,Jim Broadbent,Kris Marshall,iris,English
William Sachs,Comedy Sci-Fi,Stephen Macht,Avery Schreiber,Angelo Rossitto,galaxina,English
Christophe Barratier,Drama Music,Jean-Baptiste Maunier,François Berléand,Gérard Jugnot,the chorus,French
Émile Gaudreault,Comedy Drama,Paul Sorvino,Luke Kirby,Claudia Ferri,mambo italiano,English
James Cox,Crime Drama Mystery Thriller,Alexis Dziena,Louis Lombardi,Franky G,wonderland,English
Spike Lee,Drama,Ruby Dee,John Savage,Danny Aiello,do the right thing,English
James Toback,Comedy Crime Drama Romance Thriller,Sarah Michelle Gellar,Eric Stoltz,Joey Lauren Adams,harvard man,English
Aki Kaurismäki,Comedy Drama,Jean-Pierre Léaud,Kati Outinen,Jean-Pierre Darroussin,le havre,French
Gaspar Noé,Crime Drama Mystery Thriller,Philippe Nahon,Albert Dupontel,Jo Prestia,irreversible,French
Hitoshi Matsumoto,Comedy Drama,Lindsay Kay Hayward,Hitoshi Matsumoto,Shinobu Terajima,r100,Japanese
Rakeysh Omprakash Mehra,Comedy Drama History Romance,Anupam Kher,Steven Mackintosh,Madhavan,rang de basanti,Hindi
Collin Schiffli,Drama,Kim Shaw,John Heard,David Dastmalchian,animals,English
George Ratliff,Action Comedy Drama Thriller,Jim Gaffigan,Cree Kelly,Mike Eshaq,salvation boulevard,English
David Wain,Comedy Romance,Jon Hamm,Ken Marino,Ron Silver,the ten,English
Shane Meadows,Comedy Drama,Bob Hoskins,Paddy Considine,Shane Meadows,a room for romeo brass,English
Morten Tyldum,Crime Drama Thriller,Aksel Hennie,Synnøve Macody Lund,Julie R. Ølgaard,headhunters,Norwegian
Jon Wright,Comedy Horror Sci-Fi Thriller,Russell Tovey,Richard Coyle,Bronagh Gallagher,grabbers,English
Michael McGowan,Comedy Drama Sport,Campbell Scott,Adam Butcher,Gordon Pinsent,saint ralph,English
Liv Ullmann,Drama Romance,Samantha Morton,Jessica Chastain,Colin Farrell,miss julie,English
Jeannot Szwarc,Drama Fantasy Romance,Teresa Wright,Bill Erwin,George Voskovec,somewhere in time,English
Rohan Sippy,Action Crime Drama Thriller,Abhishek Bachchan,Bipasha Basu,Prateik,dum maaro dum,Hindi
James Wan,Fantasy Horror Thriller,Lin Shaye,Barbara Hershey,Leigh Whannell,insidious: chapter 2,English
Darren Lynn Bousman,Horror Mystery,Emmanuelle Vaugier,Tony Nappo,Shawnee Smith,saw ii,English
Dan Trachtenberg,Drama Horror Mystery Sci-Fi Thriller,Bradley Cooper,John Gallagher Jr.,Sumalee Montano,10 cloverfield lane,English
Jeff Tremaine,Comedy Documentary,Bam Margera,Steve-O,Chris Pontius,jackass: the movie,English
David F. Sandberg,Horror,Billy Burke,Amiah Miller,Gabriel Bateman,lights out,English
Henry Joost,Horror,Johanna Braddy,Sprague Grayden,Christopher Nicholas Smith,paranormal activity 3,English
Stiles White,Fantasy Horror,Lin Shaye,Shelley Hennig,Daren Kagasoff,ouija,English
Chuck Russell,Action Fantasy Horror Thriller,John Saxon,Heather Langenkamp,Jennifer Rubin,a nightmare on elm street 3: dream warriors,English
Joel Edgerton,Mystery Thriller,Busy Philipps,Allison Tolman,Wendell Pierce,the gift,English
Eugenio Derbez,Comedy Drama,Eugenio Derbez,Jessica Lindsey,Hugo Stiglitz,instructions not included,Spanish
Henry Joost,Horror,Matt Shively,Brendon Eggertsen,Alisha Boe,paranormal activity 4,English
Henry Koster,Drama History,Richard Burton,Jean Simmons,Victor Mature,the robe,English
Blake Edwards,Comedy Crime Mystery,Burt Kwouk,Herbert Lom,Catherine Schell,the return of the pink panther,English
Rachel Talalay,Comedy Fantasy Horror Thriller,Johnny Depp,Tom Arnold,Yaphet Kotto,freddy's dead: the final nightmare,English
Patty Jenkins,Biography Crime Drama Thriller,Charlize Theron,Bruce Dern,Pruitt Taylor Vince,monster,English
Richard Fleischer,Adventure Drama Family Fantasy Sci-Fi,James Mason,Robert J. Wilke,Paul Lukas,"20,000 leagues under the sea",English
Christopher Landon,Fantasy Horror Thriller,Richard Cabral,Gloria Sandoval,Molly Ephraim,paranormal activity: the marked ones,English
David Lynch,Biography Drama,Anthony Hopkins,Anne Bancroft,Dexter Fletcher,the elephant man,English
Jean-Marc Vallée,Biography Drama,Matthew McConaughey,Jennifer Garner,Denis O'Hare,dallas buyers club,English
David Gelb,Horror Sci-Fi Thriller,Olivia Wilde,Mark Duplass,Donald Glover,the lazarus effect,English
Christopher Nolan,Mystery Thriller,Callum Rennie,Thomas Lennon,Jorja Fox,memento,English
Mike Flanagan,Horror Mystery,James Lafferty,Rory Cochrane,Garrett Ryan,oculus,English
Kevin Smith,Comedy,Ethan Suplee,Jason Mewes,Brian O'Halloran,clerks ii,English
Stephen Daldry,Drama Music,Julie Walters,Gary Lewis,Jamie Draven,billy elliot,English
Nat Faxon,Comedy Drama,Steve Carell,Liam James,Jim Rash,the way way back,English
George Jackson,Comedy Drama Music Romance,William Schallert,Tisha Campbell-Martin,Helen Martin,house party 2,English
George Miller,Adventure Drama Family Romance Western,Tony Bonner,Jack Thompson,Tom Burlinson,the man from snowy river,English
Maurice Joyce,Animation Comedy Family,Frank Welker,Constance Shulman,Alice Playten,doug's 1st movie,English
Robert Duvall,Drama,John Beasley,Todd Allen,June Carter Cash,the apostle,English
Frank Perry,Biography Drama,Faye Dunaway,Xander Berkeley,Diana Scarwid,mommie dearest,English
Jesse Peretz,Comedy Drama,Zooey Deschanel,Adam Scott,Steve Coogan,our idiot brother,English
Stephen Hopkins,Biography Drama Sport,William Hurt,Tony Curran,David Kross,race,English
Ice Cube,Comedy Drama,Bernie Mac,Monica Calhoun,Chrystale Wilson,the players club,English
Tim Blake Nelson,Drama Romance Thriller,Mekhi Phifer,Andrew Keegan,John Heard,o,English
John Erick Dowdle,Horror Mystery Thriller,Ben Feldman,Edwin Hodge,Perdita Weeks,"as above, so below",English
Bille Woodruff,Drama Thriller,Boris Kodjoe,Cameron Mills,Sharon Leal,addicted,Spanish
Kasi Lemmons,Drama,Jurnee Smollett-Bell,Lynn Whitfield,Diahann Carroll,eve's bayou,English
Richard Glatzer,Drama,Kristen Stewart,Hunter Parrish,Seth Gilliam,still alice,English
Michael Curtiz,Drama History,Gene Tierney,Peter Ustinov,Jean Simmons,the egyptian,English
Bruce Malmuth,Action Crime Thriller,Sylvester Stallone,Lindsay Wagner,Persis Khambatta,nighthawks,English
Rob Hedden,Adventure Horror,Kane Hodder,Peter Mark Richman,Scott Reeves,friday the 13th part viii: jason takes manhattan,English
Joel Zwick,Comedy Family Romance,Nia Vardalos,Louis Mandylor,Lainie Kazan,my big fat greek wedding,English
Harmony Korine,Crime Drama,James Franco,Heather Morris,Rachel Korine,spring breakers,English
Joe Chappelle,Horror Thriller,Donald Pleasence,Kim Darby,Mitchell Ryan,halloween: the curse of michael myers,English
Alfonso Cuarón,Adventure Comedy Drama Romance,Maribel Verdú,Daniel Giménez Cacho,María Aura,y tu mamá también,Spanish
Edgar Wright,Comedy Horror,Peter Serafinowicz,Dylan Moran,Rafe Spall,shaun of the dead,English
Mickey Liddell,Drama Horror Thriller,Jessica Lowndes,Randy Wayne,Haley Bennett,the haunting of molly hartley,English
John Sayles,Drama Mystery,Matthew McConaughey,Clifton James,Miriam Colon,lone star,English
Dwight H. Little,Horror Thriller,Donald Pleasence,Kathleen Kinmont,Ellie Cornell,halloween 4: the return of michael myers,English
Fred Walton,Horror Mystery,Thomas F. Wilson,Deborah Foreman,Clayton Rohner,april fool's day,English
Barry Levinson,Comedy Drama,Steve Guttenberg,Daniel Stern,Ellen Barkin,diner,English
Steve Carver,Action Crime Drama Thriller Western,David Carradine,William Sanderson,Robert Beltran,lone wolf mcquade,English
Gonzalo López-Gallego,Horror Mystery Sci-Fi Thriller,Warren Christie,Ryan Robbins,Andrew Airlie,apollo 18,English
